12253,0.05,-0.00,9.71,0.01,0.00,ovf,-0.00,0.00,-0.03,0.00,0.00,0.00,0.30,-0.01,89.70
12254,0.07,-0.00,9.74,0.01,0.00,ovf,-0.00,0.00,-0.03,0.00,0.00,0.00,0.41,-0.02,89.59
12258,0.07,-0.00,9.74,0.01,0.00,ovf,-0.00,0.00,-0.03,0.00,0.00,0.00,0.41,-0.02,89.59
12259,0.03,-0.01,9.81,0.01,0.00,ovf,-0.00,0.00,-0.03,0.00,0.00,0.00,0.19,-0.05,89.80
12263,0.03,-0.01,9.81,0.01,0.00,ovf,-0.00,0.00,-0.03,0.00,0.00,0.00,0.19,-0.05,89.80
12264,-0.02,-0.02,9.91,0.01,0.00,ovf,-0.00,0.00,-0.03,0.00,0.00,0.00,-0.10,-0.12,89.84
12268,-0.02,-0.02,9.91,0.01,0.00,ovf,-0.00,0.00,-0.03,0.00,0.00,0.00,-0.10,-0.12,89.84
12269,-0.08,-0.01,9.95,0.01,0.00,ovf,-0.00,0.00,-0.03,0.00,0.00,0.00,-0.45,-0.05,89.55
12273,-0.08,-0.01,9.95,0.01,0.00,ovf,-0.00,0.00,-0.03,0.00,0.00,0.00,-0.45,-0.05,89.55
12274,-0.14,-0.04,9.93,0.01,0.00,ovf,-0.00,0.00,-0.03,0.00,0.00,0.00,-0.78,-0.21,89.19
12278,-0.14,-0.04,9.93,0.01,-0.00,ovf,-0.00,0.00,-0.03,0.00,0.00,0.00,-0.78,-0.21,89.19
12279,-0.12,-0.04,9.90,0.01,-0.00,ovf,-0.00,0.00,-0.03,0.00,0.00,0.00,-0.69,-0.24,89.27
12283,-0.12,-0.04,9.90,0.01,-0.00,ovf,-0.00,0.00,-0.03,0.00,0.00,0.00,-0.69,-0.24,89.27
12284,-0.04,-0.03,9.88,0.01,-0.00,ovf,-0.00,0.00,-0.03,0.00,0.00,0.00,-0.24,-0.17,89.71
12288,-0.04,-0.03,9.88,0.01,-0.00,ovf,-0.00,0.00,-0.03,0.00,0.00,0.00,-0.24,-0.17,89.71
12289,0.04,-0.01,9.83,0.01,-0.00,ovf,-0.00,0.00,-0.03,0.00,0.00,0.00,0.23,-0.03,89.77
12293,0.04,-0.01,9.83,0.01,-0.00,ovf,-0.00,0.00,-0.03,0.00,0.00,0.00,0.23,-0.03,89.77
12294,0.02,0.03,9.77,0.01,-0.00,ovf,-0.00,0.00,-0.03,0.00,0.00,0.00,0.11,0.15,89.81
12298,0.02,0.03,9.77,0.01,-0.00,ovf,-0.00,0.00,-0.03,0.00,0.00,0.00,0.11,0.15,89.81
12299,-0.01,0.03,9.75,0.01,-0.00,ovf,-0.00,0.00,-0.03,0.00,0.00,0.00,-0.04,0.19,89.81
12303,-0.01,0.03,9.75,0.01,0.00,ovf,-0.00,0.00,-0.03,0.00,0.00,0.00,-0.04,0.19,89.81
