-0.06,0.05,10.38
0.03,0.01,9.34
-0.09,0.05,5.92
0.02,0.05,3.54
0.01,0.05,-1.95
-0.13,-0.01,3.42
0.06,-0.02,10.19
0.03,0.06,8.06
0.01,0.01,-1.34
-0.01,0.06,-5.19
0.02,0.03,8.85
0.00,0.06,4.21
0.15,0.11,1.71
-0.15,0.02,-2.50
-0.02,0.03,-2.99
-0.18,-0.00,-1.95
0.06,0.03,-1.16
-0.10,0.05,-6.47
0.08,-0.01,-0.24
-0.20,0.07,2.14
0.08,0.03,1.46
-0.11,-0.01,4.46
-0.05,0.03,5.80
-0.17,0.04,-0.85
-0.11,0.09,2.08
-0.05,0.07,-10.56
-0.06,0.04,-2.08
-0.01,0.03,2.26
0.01,0.02,2.50
0.01,0.03,2.50
0.01,0.03,1.89
0.01,0.03,2.14
0.00,0.03,2.14
0.01,0.03,1.65
0.01,0.03,2.20
0.00,0.03,2.62
0.00,0.02,1.95
0.01,0.03,2.14
0.00,0.03,2.50
0.01,0.02,3.42
0.01,0.03,2.20
0.01,0.03,2.93
0.00,0.03,2.32
0.01,0.03,2.62
0.00,0.03,2.81
0.01,0.03,3.30
0.01,0.03,2.62
0.01,0.03,2.26
0.01,0.03,2.56
0.01,0.03,2.75
0.00,0.03,3.05
0.00,0.02,3.30
0.00,0.02,2.01
0.01,0.02,2.56
0.01,0.02,2.20
0.00,0.03,2.99
0.00,0.03,2.87
0.01,0.03,2.26
0.00,0.03,2.56
0.01,0.03,2.26
0.00,0.02,2.14
0.00,0.03,2.01
0.00,0.03,2.75
0.01,0.03,2.38
0.01,0.03,2.14
0.00,0.02,3.23
0.01,0.03,3.11
0.01,0.03,2.75
0.01,0.03,2.26
0.01,0.02,2.81
0.00,0.03,3.17
0.00,0.03,2.08
-0.00,0.02,2.75
0.01,0.02,2.93
0.01,0.03,2.81
0.01,0.02,2.87
0.01,0.03,2.99
0.01,0.03,2.62
0.01,0.03,1.83
0.01,0.03,2.20
0.01,0.03,3.05
0.00,0.03,2.87
0.00,0.03,2.50
0.00,0.03,2.99
0.01,0.03,2.50
0.01,0.02,2.75
0.00,0.03,2.50
0.00,0.02,2.62
0.00,0.02,2.75
0.00,0.03,2.81
0.00,0.02,2.44
0.01,0.02,2.99
0.01,0.03,2.01
0.01,0.03,1.71
0.01,0.03,2.93
0.01,0.03,2.62
0.01,0.03,3.05
0.00,0.03,2.14
0.00,0.03,2.26
0.01,0.03,2.38
0.00,0.03,2.81
0.00,0.03,2.93
0.00,0.02,2.38
0.00,0.03,2.14
0.01,0.02,3.11
-0.00,0.02,3.05
0.00,0.03,2.81
-0.29,0.09,5.80
0.07,0.02,13.92
0.01,0.03,7.45
-0.07,0.01,10.80
0.22,0.07,13.06
0.04,0.03,12.27
-0.05,0.04,9.03
-0.11,0.01,11.60
-0.01,-0.02,9.52
-0.01,0.02,8.00
0.05,0.01,11.84
-0.03,-0.05,10.86
-0.00,-0.02,0.18
0.03,-0.03,-0.06
-0.05,0.04,-6.53
-0.20,-0.00,-6.29
-0.06,0.05,-3.91
0.09,-0.01,-0.92
0.02,0.05,2.75
0.05,0.04,0.12
0.01,-0.02,2.87
-0.06,0.04,5.25
