97347,0.00,0.00,0.00,0.00,0.00,1.40
97386,0.00,0.00,0.00,0.00,0.00,1.40
97424,0.00,0.00,0.00,0.00,0.00,1.40
97463,0.00,0.00,0.00,0.00,0.00,1.40
97502,0.00,0.00,0.00,0.00,0.00,1.40
97540,0.00,0.00,0.00,0.00,0.00,1.40
97579,0.00,0.00,0.00,0.00,0.00,1.40
97617,0.00,0.00,0.00,0.00,0.00,1.40
97656,0.00,0.00,0.00,0.00,0.00,1.40
97694,0.00,0.00,0.00,0.00,0.00,1.40
97733,0.00,0.00,0.00,0.00,0.00,1.40
97771,0.00,0.00,0.00,0.00,0.00,1.40
97810,0.00,0.00,0.00,0.00,0.00,1.40
97848,0.00,0.00,0.00,0.00,0.00,1.40
97887,-0.03,-0.00,0.00,0.00,0.00,1.40
97928,0.00,-0.00,0.00,0.00,0.00,1.40
97967,0.00,-0.00,0.00,0.00,0.00,1.40
98007,0.00,0.00,0.00,0.00,0.00,1.40
98045,0.00,0.00,0.00,0.00,0.00,1.40
98084,0.00,0.00,0.00,0.00,0.00,1.40
98122,0.00,0.00,0.00,0.00,0.00,1.40
98161,0.00,0.00,0.00,0.00,0.00,1.40
98199,0.00,0.00,0.00,0.00,0.00,1.40
98238,0.00,0.00,0.00,0.00,0.00,1.40
98277,0.00,0.00,0.00,0.00,0.00,1.40
98315,0.00,0.00,0.00,0.00,0.00,1.40
98354,0.00,0.00,0.00,0.00,0.00,1.40
98392,0.00,0.00,0.00,0.00,0.00,1.40
98431,0.00,0.00,0.00,0.00,0.00,1.40
98469,0.00,0.00,0.00,0.00,0.00,1.40
98508,0.00,0.00,0.00,0.00,0.00,1.40
98546,0.00,0.00,0.00,0.00,0.00,1.40
98585,0.00,0.00,0.00,0.00,0.00,1.40
98623,0.00,0.00,0.00,0.00,0.00,1.40
98662,0.00,0.00,0.00,0.00,0.00,1.40
98700,0.00,0.00,0.00,0.00,0.00,1.40
98739,0.00,0.00,0.00,0.00,0.00,1.40
98778,0.00,0.00,0.00,0.00,0.00,1.40
98816,0.00,0.00,0.00,0.00,0.00,1.40
98855,0.00,0.00,0.00,0.00,0.00,1.40
98893,0.00,0.00,0.00,0.00,0.00,1.40
98932,0.00,0.00,0.00,0.00,0.00,1.40
98970,0.00,0.00,0.00,0.00,0.00,1.40
99009,0.00,0.00,0.00,0.00,0.00,1.40
99047,0.00,0.00,0.00,0.00,0.00,1.40
99086,0.00,0.00,0.00,0.00,0.00,1.40
99124,0.00,0.00,0.00,0.00,0.00,1.40
99163,0.00,0.00,0.00,0.00,0.00,1.40
99202,-0.04,-0.00,0.00,0.00,0.00,1.40
99242,0.00,-0.00,0.00,0.00,0.00,1.40
99282,-0.05,-0.00,0.00,0.00,0.00,1.40
99322,0.00,-0.00,0.00,0.00,0.00,1.40
99362,0.00,-0.00,0.00,0.00,0.00,1.40
99402,0.00,0.00,0.00,0.00,0.00,1.40
99440,0.00,0.00,0.00,0.00,0.00,1.40
99479,0.00,0.00,0.00,0.00,0.00,1.40
99517,0.00,0.00,0.00,0.00,0.00,1.40
99556,0.00,0.00,0.00,0.00,0.00,1.40
99594,0.00,0.00,0.00,0.00,0.00,1.40
99633,0.00,0.00,0.00,0.00,6.59,1.66
99671,0.10,0.00,0.00,0.00,19.17,2.39
99711,0.16,0.01,0.00,0.00,10.25,2.80
99750,0.12,0.01,-0.03,-0.00,0.00,2.80
99791,0.06,0.02,0.00,-0.00,6.59,3.07
99831,0.00,0.02,0.00,-0.00,0.00,3.07
