02,0.01,2.32
22499,-0.01,0.02,2.75
22523,-0.00,0.03,2.62
22547,-0.01,0.02,2.26
22570,-0.00,0.02,2.44
22594,-0.00,0.02,2.81
22618,-0.00,0.00,3.05
22642,-0.00,0.01,2.93
22666,0.00,0.03,2.26
22689,0.01,0.03,3.60
22712,0.01,0.02,2.56
22735,0.00,0.03,2.38
22758,-0.01,0.03,3.17
22782,0.01,0.02,3.60
22805,-0.01,0.02,2.81
22829,-0.00,0.04,2.50
22853,0.01,0.02,2.14
22876,-0.00,0.02,2.87
22900,-0.00,0.02,2.50
22924,0.01,0.02,2.38
22947,0.01,0.01,2.32
22969,-0.00,0.02,2.81
22993,-0.00,0.02,2.69
23017,0.00,0.03,3.05
23040,0.00,0.01,2.38
23063,-0.00,0.02,3.72
23087,0.01,0.01,2.93
23110,0.01,0.01,2.99
23133,-0.00,0.02,3.85
23157,-0.05,0.20,6.23
23181,0.01,0.12,6.23
23204,-0.01,0.03,10.31
23229,-0.00,-0.01,7.20
23254,0.00,-0.04,4.64
23278,-0.07,0.19,11.23
23303,0.05,-0.01,1.10
23327,-0.05,0.09,-1.89
23352,0.05,-0.02,0.31
23376,-0.15,0.29,-2.20
23401,0.00,0.04,-4.46
23425,0.09,0.20,-3.42
23449,-0.18,0.11,-10.25
23475,0.04,0.07,-5.98
23499,-0.08,0.03,-6.23
23524,-0.06,0.11,-16.97
23550,0.11,-0.05,-9.95
23575,-0.01,0.07,-16.72
23601,-0.06,0.01,-13.67
23627,0.12,-0.11,-14.10
23653,-0.00,-0.08,-4.52
23679,-0.10,-0.20,-11.17
23706,-0.07,0.04,-0.85
23731,-0.13,-0.01,3.48
23756,0.11,-0.13,5.19
23780,0.01,0.15,2.81
23803,0.01,-0.07,9.95
23827,0.04,0.09,6.90
23850,0.02,0.04,5.00
23873,-0.00,0.08,4.94
23897,0.00,0.10,7.57
23919,0.01,0.05,4.15
23942,-0.01,-0.08,7.57
23967,-0.01,-0.04,6.65
23992,0.01,-0.00,4.82
24016,0.00,0.03,2.87
24039,-0.01,0.02,3.36
24063,0.00,0.03,2.08
24086,-0.01,0.01,2.69
24110,-0.01,0.04,3.36
24134,0.01,0.03,2.62
24157,0.01,0.02,3.30
24180,-0.00,0.03,2.56
24204,0.00,0.03,3.11
24227,-0.00,0.04,3.72
24251,0.00,0.03,3.48
24274,-0.00,0.02,2.69
24298,0.01,0.03,3.54
24320,0.01,0.02,3.60
24343,0.01,0.02,2.81
24366,0.00,0.02,2.69
24389,0.00,0.02,2.62
24412,0.01,0.02,3.91
24435,0.00,0.03,2.75
24458,0.01,-0.05,8.79
24482,0.06,-0.17,2.01
24506,-0.03,-0.11,0.31
24531,0.01,-0.08,3.78
24555,-0.08,-0.10,10.07
24581,0.05,-0.14,6.04
24605,0.09,-0.04,5.07
24629,-0.07,0.02,11.66
24654,-0.05,-0.04,12.76
24680,-0.00,-0.40,15.81
24706,0.07,-0.02,18.37
24731,-0.07,-0.19,13.79
24757,0.01,-0.23,8.18
24781,0.05,-0.04,14.71
24806,-0.05,0.07,12.88
24831,0.16,-0.16,15.38
24856,-0.01,0.07,11.90
24881,-0.18,0.19,24.48
24906,-0.03,0.07,10.93
24931,-0.02,0.41,28.69
24956,-0.02,0.26,7.51
24980,-0.17,0.31,-3.91
25005,0.02,0.17,-1.34
25029,-0.06,0.12,-7.93
25054,-0.02,-0.03,-5.13
25080,-0.04,0.19,-0.31
25105,0.00,0.07,3.42
25128,0.01,0.03,3.42
25151,0.00,0.02,3.91
25174,0.00,0.03,2.81
25197,-0.01,0.02,3.85
25220,-0.01,0.02,3.05
25244,-0.00,0.03,2.99
25268,-0.01,0.02,3.23
25292,-0.01,0.03,2.75
25316,-0.01,0.01,3.23
25340,0.01,0.01,3.42
25363,0.00,0.02,3.42
25386,-0.02,0.01,2.99
25410,-0.00,0.02,3.42
25434,-0.01,0.03,3.30
25458,-0.03,0.02,3.85
25482,0.01,0.02,3.72
25505,-0.01,0.02,3.91
25529,-0.02,0.01,2.26
25553,-0.00,0.02,2.50
25577,0.00,0.02,3.36
25600,-0.00,0.02,3.72
25624,0.00,0.03,3.78
25647,-0.01,0.04,3.36
25670,-0.01,0.03,3.23
25694,-0.01,0.02,2.81
25718,-0.00,0.02,3.78
25742,-0.02,0.02,3.85
25766,-0.01,0.02,4.15
25790,-0.01,0.01,4.03
25814,0.00,0.03,3.78
25837,-0.02,0.03,17.46
25862,-0.02,0.02,22.83
25887,-0.02,0.01,31.25
25912,-0.01,0.01,24.90
