34236,0.02,0.03,3.05
34259,-0.01,0.03,3.54
34283,-0.01,0.02,3.42
34307,0.01,0.02,3.66
34330,0.00,0.02,3.23
34353,0.01,0.01,3.66
34376,0.00,0.02,3.05
34399,-0.00,0.04,3.48
34423,-0.01,0.03,3.30
34447,-0.01,0.03,3.54
34471,-0.00,0.02,3.48
34495,0.01,0.01,3.91
34518,0.01,0.02,3.17
34541,0.01,0.02,3.30
34563,-0.01,0.03,2.56
34587,0.02,0.01,3.36
34610,-0.02,0.02,2.93
34634,-0.00,0.02,3.48
34658,0.00,0.02,3.05
34681,-0.01,0.02,3.11
34705,0.01,0.01,3.48
34728,0.01,0.03,3.42
34751,0.01,0.01,3.60
34774,0.02,0.03,3.42
34797,0.01,0.02,3.17
34820,0.02,0.02,3.30
34843,-0.00,0.03,3.60
34867,-0.00,0.01,3.48
34891,0.01,0.03,3.05
34913,0.01,0.02,3.23
34936,-0.01,0.03,3.30
34960,0.01,0.05,3.05
34983,-0.01,0.02,3.54
35007,-0.01,0.02,3.85
35031,-0.00,0.02,3.30
35055,0.00,0.03,2.87
35078,0.00,0.01,3.17
35101,0.01,0.04,3.17
35124,0.01,0.03,3.48
35147,0.02,0.03,3.23
35170,-0.01,0.02,3.42
35194,0.01,0.02,3.48
35217,-0.00,0.02,3.36
35241,0.01,0.02,2.75
35263,0.00,0.01,3.66
35286,-0.01,0.02,3.42
35310,0.02,0.03,3.72
35333,-0.01,0.02,3.42
35357,0.00,0.03,3.60
35380,0.00,0.03,3.60
35403,0.00,0.01,3.78
35426,-0.00,0.01,3.42
35450,0.01,0.02,3.60
35473,-0.01,0.02,3.36
35497,0.01,0.04,3.66
35520,0.02,0.01,3.11
35543,-0.00,0.02,3.48
35567,0.01,0.00,3.66
35589,0.01,0.03,3.60
35612,0.02,0.02,3.17
35635,-0.00,0.02,3.23
35659,0.00,0.02,2.87
35682,0.01,0.03,3.54
35705,0.01,0.02,3.54
35728,0.01,0.02,3.97
35751,0.01,0.01,3.66
35774,-0.00,0.01,3.48
35798,-0.01,0.03,3.30
35822,0.02,0.03,3.54
35845,-0.00,0.01,3.48
35869,0.02,0.03,3.60
35892,0.01,0.02,3.30
35914,0.00,0.02,3.48
35937,0.01,0.03,3.23
35960,0.01,0.01,3.11
35983,0.01,0.02,3.78
36006,0.00,0.03,3.54
36029,0.01,0.02,2.99
36052,-0.01,0.02,3.91
36076,0.01,0.02,3.97
36099,-0.00,0.02,3.36
36123,0.00,0.02,3.97
36146,-0.01,0.02,3.36
36170,-0.00,0.03,4.09
36194,-0.01,0.02,3.66
36218,-0.00,0.01,3.54
36242,0.00,0.03,3.42
36264,-0.01,0.02,3.48
36288,0.00,0.03,3.66
36311,0.01,0.03,3.54
36334,0.01,0.03,3.78
36357,-0.01,0.01,3.66
36381,-0.01,0.01,3.66
36405,0.01,0.02,3.85
36428,-0.01,0.02,4.33
36452,-0.01,0.02,3.72
36476,0.01,0.03,3.72
36499,0.01,0.02,3.30
36522,0.01,0.02,4.03
36545,0.01,0.02,3.66
36568,0.02,0.02,3.17
36591,0.00,0.00,3.36
36613,0.01,0.02,3.72
36636,0.00,0.01,3.17
36659,0.00,0.02,3.42
36682,-0.00,0.02,3.54
36706,0.00,0.01,3.36
36729,0.01,0.03,3.85
36752,0.00,0.02,3.42
36775,-0.00,0.03,3.17
36799,-0.00,0.01,4.39
36823,0.00,0.02,3.42
36846,0.01,0.02,3.42
36869,-0.00,0.02,3.60
36893,0.01,0.02,3.36
36916,0.01,0.03,3.30
36938,0.00,0.02,3.48
36961,0.01,0.02,3.72
36984,0.00,0.02,3.42
37007,0.02,0.02,3.36
37030,-0.00,0.02,3.60
37054,-0.01,0.02,3.54
37078,0.00,0.02,3.78
37101,-0.01,0.02,3.85
37125,0.01,0.01,3.42
37148,0.00,0.01,3.17
37171,-0.01,0.02,3.42
37195,0.01,0.03,3.85
37218,0.01,0.01,3.42
