20518,-0.00,-0.01,-0.08,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-90.00
20522,-0.00,-0.01,-0.08,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-90.00
20523,-0.00,-0.01,-0.08,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-90.00
20527,-0.00,-0.01,-0.08,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-90.00
20528,-0.00,-0.01,-0.08,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-90.00
20532,-0.00,-0.01,-0.08,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-90.00
20533,-0.00,-0.01,-0.08,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-90.00
20537,-0.00,-0.01,-0.08,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-90.00
20538,-0.00,-0.01,-0.08,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-90.00
20542,-0.00,-0.01,-0.08,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-90.00
20543,-0.00,-0.01,-0.08,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-90.00
20547,-0.00,-0.01,-0.08,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-90.00
20548,-0.00,-0.01,-0.08,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-90.00
20552,-0.00,-0.01,-0.08,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-90.00
20553,-0.00,-0.01,-0.08,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-90.00
20557,-0.00,-0.01,-0.08,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-90.00
20558,-0.00,-0.01,-0.08,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-90.00
20562,-0.00,-0.01,-0.08,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-90.00
20563,-0.00,-0.01,-0.08,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-90.00
20567,-0.00,-0.01,-0.08,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-90.00
20568,-0.00,-0.01,-0.08,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-90.00
20572,-0.00,-0.01,-0.08,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-90.00
20573,-0.00,-0.01,-0.08,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-90.00
20577,-0.00,-0.01,-0.08,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-90.00
20578,-0.00,-0.01,-0.08,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-90.00
20582,-0.00,-0.01,-0.08,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-90.00
20583,-0.00,-0.01,-0.08,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-90.00
20587,-0.00,-0.01,-0.08,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-90.00
20588,-0.00,-0.01,-0.08,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-90.00
20592,-0.00,-0.01,-0.08,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-90.00
20593,0.00,-0.01,-0.08,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-90.00
20597,0.00,-0.01,-0.08,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-90.00
20598,0.00,-0.01,-0.08,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-90.00
20602,0.00,-0.01,-0.08,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-90.00
20603,0.00,-0.01,-0.08,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-90.00
20607,0.00,-0.01,-0.08,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-90.00
20608,0.00,-0.01,-0.08,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-90.00
20612,0.00,-0.01,-0.08,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-90.00
20613,0.00,-0.01,-0.08,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-90.00
20617,0.00,-0.01,-0.08,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-90.00
20618,0.00,-0.01,-0.08,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-90.00
20622,0.00,-0.01,-0.08,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-90.00
20623,0.00,-0.01,-0.08,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-90.00
20627,0.00,-0.01,-0.08,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-90.00
20628,0.00,-0.01,-0.08,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-90.00
20632,0.00,-0.01,-0.08,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-90.00
20633,0.00,-0.01,-0.08,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-90.00
20637,0.00,-0.01,-0.08,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-90.00
20638,0.00,-0.01,-0.08,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-90.00
20642,0.00,-0.01,-0.08,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-90.00
