260801708, 43, 42, 43
260961564, 43, 42, 43
261121416, 43, 42, 43
261281276, 43, 42, 43
261441128, 43, 42, 43
261600976, 43, 42, 43
261760820, 43, 42, 43
261920668, 43, 42, 43
262080508, 43, 42, 43
262240360, 43, 42, 43
262400212, 43, 42, 43
262560064, 43, 42, 43
262719912, 43, 42, 43
262879760, 43, 42, 43
263039604, 43, 42, 43
263199460, 43, 42, 43
263359300, 43, 42, 43
263519144, 43, 42, 43
263679000, 43, 42, 43
263838848, 43, 42, 43
263998700, 43, 42, 43
264158532, 43, 42, 43
264318348, 43, 42, 43
264478200, 43, 42, 43
264638032, 43, 42, 43
264797880, 43, 41, 43
264957700, 43, 41, 43
265117520, 43, 41, 43
265277340, 43, 41, 43
265437156, 43, 42, 43
265596976, 43, 42, 43
265756800, 43, 42, 43
265916620, 43, 42, 43
266076448, 43, 42, 43
266236296, 43, 41, 43
266396100, 43, 41, 43
266555920, 42, 41, 43
266715692, 42, 41, 43
266875416, 43, 41, 0
267035252, 42, 41, 0
267195068, 42, 41, 0
267354880, 42, 40, 6
267512348, 41, 40, 43
267671980, 41, 41, 43
267831628, 41, 41, 0
267991384, 43, 41, 0
268151228, 43, 41, 0
268311092, 42, 41, 0
268470916, 41, 40, 0
268630652, 40, 39, 6
268787992, 39, 37, 38
268947072, 39, 37, 38
269106076, 38, 37, 39
269265088, 38, 37, 38
269424100, 39, 37, 39
269583172, 39, 37, 39
269742248, 39, 37, 39
269901344, 38, 37, 38
270060364, 38, 37, 39
270219396, 38, 37, 39
270378448, 38, 37, 39
270537500, 38, 37, 39
270696552, 38, 37, 39
270855604, 38, 37, 39
271014652, 38, 37, 39
271173704, 38, 37, 39
271332748, 38, 37, 39
271491772, 38, 37, 39
271650788, 38, 37, 39
271809836, 38, 37, 39
271968840, 38, 37, 38
272127836, 38, 37, 39
272286868, 38, 37, 38
272445868, 38, 37, 39
272604892, 38, 37, 39
272763920, 38, 37, 39
272922952, 38, 37, 39
273081972, 38, 37, 38
